Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,BF,Rhat,ESS,beyond_95,beyond_97dot5,beyond_99,power_sample_size
b_Congruency1.Bias1,-0.007244405000000001,1,-0.012356,-0.00174817,1,1,0,Inf,0,58.76736312387311,0.999877990061583,18655.001525684824,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-0.00249075,1,-0.00774826,0.00187976,0.9725,1,0,Inf,0.0275,0.015082479448248752,0.9996738189990937,19319.901297874872,TRUE,FALSE,FALSE,300
b_Congruency1.Bias1,0.001539955,1,-0.00295257,0.00645611,0.8914,1,0,Inf,0.8914,0.004690793500810203,0.9997954269061761,16786.17318172562,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.001380385,1,-0.00311403,0.00612198,0.8667,1,0,Inf,0.8667,0.004055237110361724,0.9997783344099131,16812.96498980003,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.0025488,1,-0.00186489,0.00719942,0.9797,1,0,Inf,0.9797,0.019492817151359077,0.9997315894626746,18355.346776890176,TRUE,TRUE,FALSE,300
b_Congruency1.Bias1,0.0017118,1,-0.00361654,0.00727934,0.9082,1,0,Inf,0.9082,0.006056030187799354,0.9997472545040564,19419.21049245979,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,5.043305e-4,1,-0.00428187,0.00529137,0.6547,1,0,Inf,0.6547,0.0023769138782109875,1.0000263199471022,19535.044134070093,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.003646435,1,-8.7395e-4,0.00813418,0.997,1,0,Inf,0.997,0.12063169908911683,0.9998373952018876,16823.72834965061,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,0.001155765,1,-0.00425234,0.00644007,0.8129,1,0,Inf,0.8129,0.003384478779584418,0.9997973364435752,16301.436702951585,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00293324,1,-0.00173072,0.00835715,0.9881,1,0,Inf,0.9881,0.030991322967812925,0.9996718279314878,19271.344624235837,TRUE,TRUE,FALSE,300
b_Congruency1.Bias1,-0.004142244999999999,1,-0.00956212,4.50447e-4,0.9989,1,0,Inf,0.0011,0.2742179374731598,0.9997535327590641,21835.93174510462,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-0.003759805,1,-0.0083626700000000009,0.00123956,0.9991,1,0,Inf,9e-4,0.1819369577757398,0.9997593334843807,17412.183806792764,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,0.00450325,1,-6.27112e-4,0.00966586,0.9998,1,0,Inf,0.9998,0.83493848546627,0.9997848159509497,17532.426620735034,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-6.143545000000001e-4,1,-0.00531493,0.00482252,0.6837,1,0,Inf,0.3163,0.0026291246844258507,0.9998896146512095,18233.72222230206,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00247199,1,-0.00207284,0.00707821,0.9744,1,0,Inf,0.9744,0.015435905910217295,0.9997953874682128,21706.719075720208,TRUE,FALSE,FALSE,300
b_Congruency1.Bias1,0.003297515,1,-0.00106081,0.00780505,0.9958,1,0,Inf,0.9958,0.07206220400448815,0.9998269425806796,17273.758372056727,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-0.00125734,1,-0.00637188,0.00359402,0.8495,1,0,Inf,0.1505,0.0036347312678786147,0.9998385754628425,17292.26423912616,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00435352,1,-1.73394e-4,0.00926003,0.9999,1,0,Inf,0.9999,0.8894944448656124,0.9998278193125059,16074.979326137054,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,0.00159653,1,-0.00317835,0.00619874,0.8973,1,0,Inf,0.8973,0.005132001325167062,0.9997214932897819,17640.000724010173,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-0.001196145,1,-0.00639669,0.00405824,0.8275,1,0,Inf,0.1725,0.003519935882587948,0.999663719792162,18027.037028523977,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-4.826035e-4,1,-0.0053259,0.00494127,0.6448,1,0,Inf,0.3552,0.002294987512241447,0.999745922717482,16667.475666230275,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-0.003790155,1,-0.00844648,0.00216633,0.9984,1,0,Inf,0.0016,0.17610145360208623,0.9998521778982012,21824.34603769422,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,0.00445335,1,-9.4065e-4,0.00968466,0.9997,1,0,Inf,0.9997,0.6846277435596504,0.9997911395192743,14378.893585913082,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-0.001471235,1,-0.00622337,0.0030941,0.8796,1,0,Inf,0.1204,0.004377834998043337,0.9996429257173995,17057.298389986707,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.0030761399999999998,1,-0.00160906,0.00780903,0.9937,1,0,Inf,0.9937,0.04703767507012049,0.9998638443214362,19023.193335555075,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,0.0022854299999999998,1,-0.00230373,0.00715819,0.9579,1,0,Inf,0.9579,0.010821666552805066,0.999758762201419,13781.967517543246,TRUE,FALSE,FALSE,300
b_Congruency1.Bias1,0.0010607,1,-0.00368327,0.00590401,0.8004,1,0,Inf,0.8004,0.003063595702322258,0.9998521174805064,11702.761182847818,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-0.005377135,1,-0.00974132,3.6078e-4,0.9999,1,0,Inf,1e-4,10.09177465231988,1.0002274602137067,17322.53192640913,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-0.001802045,1,-0.00672305,0.00293595,0.9165,1,0,Inf,0.0835,0.006153930366718273,0.9997849748126169,17297.024492507655,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.005026805,1,-2.99934e-4,0.010326,0.9999,1,0,Inf,0.9999,1.9337163076315436,1.0000129303114391,15434.369593397998,TRUE,TRUE,TRUE,300
